trt,hibr,ph,planta,altura,ps,p,zn,nit,fe,spad
urea,2,neutro,8,202.99999999999997,112.69,NA,NA,NA,NA,NA
urea,2,neutro,9,210,221.32,NA,NA,NA,NA,NA
urea,2,neutro,10,190,76.75,NA,NA,NA,NA,NA
urea,2,alcalino,1,153,46.12,219.41755920000003,1.3314840000000001,0.1345848502994012,17.917263000000002,6.03
urea,2,alcalino,2,160,73.81,201.22464600000004,1.6539012000000002,0.12421345436702648,16.31849184,6.56
urea,2,alcalino,3,178,57.13,212.92740000000003,1.9917240000000005,0.11597352941176473,16.980052320000006,4.96
urea,2,alcalino,4,152,117.43,220.96032000000002,1.4719720680000004,0.13181544668587897,19.405774080000004,8.38
urea,2,alcalino,5,178,187.9,167.0440212,1.276464,0.16296627167630057,15.932581560000003,6.46
urea,2,alcalino,6,153,155.9,NA,NA,NA,NA,NA
urea,2,alcalino,7,143,142.69,NA,NA,NA,NA,NA
urea,2,alcalino,8,148,108.48,NA,NA,NA,NA,NA
urea,3,neutro,1,243.00000000000003,253.35000000000002,511.29469830000005,4.519635729000001,0.5020856399074073,38.565231510000004,19.64
urea,3,neutro,2,231.99999999999997,465.14,750.60805,3.071258256,0.6437491070736433,36.6456951,18.3
urea,3,neutro,3,252,401.03,755.8327,3.821622489,0.8056680799616488,40.65927123,16.2
urea,3,neutro,4,231.99999999999997,333.42,734.6589351,3.9010719999999997,0.7654218541784037,35.42417193,19.54
urea,3,neutro,5,257,242.29,856.8112520999999,3.5075165310000003,0.5413513596441947,35.075165309999996,9.95
urea,3,neutro,6,270,391.06,NA,NA,NA,NA,NA
urea,3,neutro,7,272,377.8,NA,NA,NA,NA,NA
urea,3,neutro,8,168,498.03,NA,NA,NA,NA,NA
urea,3,neutro,9,250,328.93,NA,NA,NA,NA,NA
urea,3,neutro,10,238,192,NA,NA,NA,NA,NA
urea,3,alcalino,1,290,236.26,233.6235144,2.858056,0.1676121322803554,26.84786355,10.54
urea,3,alcalino,2,292,112.19,208.1886963,2.06833,0.17095762437810944,26.3768484,8.75
urea,3,alcalino,3,295,164.19,217.6089993,2.468119386,0.2167072509487666,29.485548389999998,8.23
urea,3,alcalino,4,254,293.95,234.5655447,2.4963802950000002,0.20326148044692743,20.7246666,6.92
urea,3,alcalino,5,283,358.03,274.13081730000005,2.143542,0.18715949074074073,20.065245389999998,6.46
urea,3,alcalino,6,223,181.15,NA,NA,NA,NA,NA
urea,3,alcalino,7,214,93.74,NA,NA,NA,NA,NA
urea,3,alcalino,8,295,187.65,NA,NA,NA,NA,NA
urea,3,alcalino,9,240,123.4,NA,NA,NA,NA,NA
urea,3,alcalino,10,210,129.73,NA,NA,NA,NA,NA
