study,year,cultivar,fungic,rep,sev,yield,Yld_level,YR_class,gr_hab,sev_check
8,2012,M8336_RR,FLUO[0.4],3,26,3598,2High,2High,D,47.8
8,2012,M8336_RR,FLUO[0.4],4,28.8,3226,2High,2High,D,47.8
8,2012,M8336_RR,PROT_TRIF[0.4],1,32.5,3625,2High,2High,D,47.8
8,2012,M8336_RR,PROT_TRIF[0.4],2,26.5,3419,2High,2High,D,47.8
8,2012,M8336_RR,PROT_TRIF[0.4],3,28.8,3324,2High,2High,D,47.8
8,2012,M8336_RR,PROT_TRIF[0.4],4,30,3517,2High,2High,D,47.8
8,2012,M8336_RR,TIOF[1],1,42,3126,2High,2High,D,47.8
8,2012,M8336_RR,TIOF[1],2,39,3614,2High,2High,D,47.8
8,2012,M8336_RR,TIOF[1],3,35,3656,2High,2High,D,47.8
8,2012,M8336_RR,TIOF[1],4,26.5,3141,2High,2High,D,47.8
8,2012,M8336_RR,ZZ_CHECK,1,46.5,3400,2High,2High,D,47.8
8,2012,M8336_RR,ZZ_CHECK,2,50,3594,2High,2High,D,47.8
8,2012,M8336_RR,ZZ_CHECK,3,48,2314,2High,2High,D,47.8
8,2012,M8336_RR,ZZ_CHECK,4,46.5,3406,2High,2High,D,47.8
13,2013,5G830_RR,AZ_SOLA[0.2],1,33,3270,2High,2High,D,48.5
13,2013,5G830_RR,AZ_SOLA[0.2],2,35,3235,2High,2High,D,48.5
13,2013,5G830_RR,AZ_SOLA[0.2],3,35,3023,2High,2High,D,48.5
13,2013,5G830_RR,AZ_SOLA[0.2],4,34,2796,2High,2High,D,48.5
13,2013,5G830_RR,AZ+CZM_TEBU[0.6+1],1,40,2548,2High,2High,D,48.5
13,2013,5G830_RR,AZ+CZM_TEBU[0.6+1],2,42,3090,2High,2High,D,48.5
13,2013,5G830_RR,AZ+CZM_TEBU[0.6+1],3,42,2847,2High,2High,D,48.5
13,2013,5G830_RR,AZ+CZM_TEBU[0.6+1],4,42,2627,2High,2High,D,48.5
13,2013,5G830_RR,CZM[1],1,45,2770,2High,2High,D,48.5
13,2013,5G830_RR,CZM[1],2,45,2560,2High,2High,D,48.5
13,2013,5G830_RR,CZM[1],3,47,2736,2High,2High,D,48.5
13,2013,5G830_RR,CZM[1],4,46,2444,2High,2High,D,48.5
13,2013,5G830_RR,CZM_CM_TEBU[1],1,40,3200,2High,2High,D,48.5
13,2013,5G830_RR,CZM_CM_TEBU[1],2,42,2812,2High,2High,D,48.5
13,2013,5G830_RR,CZM_CM_TEBU[1],3,42,2861,2High,2High,D,48.5
13,2013,5G830_RR,CZM_CM_TEBU[1],4,40,2624,2High,2High,D,48.5
13,2013,5G830_RR,EPO_FLUX_PYRA[0.8],1,13,3536,2High,2High,D,48.5
13,2013,5G830_RR,EPO_FLUX_PYRA[0.8],2,14,3763,2High,2High,D,48.5
13,2013,5G830_RR,EPO_FLUX_PYRA[0.8],3,13,3471,2High,2High,D,48.5
13,2013,5G830_RR,EPO_FLUX_PYRA[0.8],4,13,3147,2High,2High,D,48.5
13,2013,5G830_RR,FLUA[1],1,36,2813,2High,2High,D,48.5
13,2013,5G830_RR,FLUA[1],2,37,3009,2High,2High,D,48.5
